10,0,0,5.5757e-05
10,0,1,5.7076e-05
10,0,2,5.2788e-05
10,0,3,5.3594e-05
10,0,4,5.3449e-05
10,1,0,2.9894e-05
10,1,1,2.8082e-05
10,1,2,2.8265e-05
10,1,3,2.6949e-05
10,1,4,2.7437e-05
10,2,0,6.978e-05
10,2,1,6.588e-05
10,2,2,6.5394e-05
10,2,3,6.4888e-05
10,2,4,6.4657e-05
10,3,0,1.7402e-05
10,3,1,1.5788e-05
10,3,2,1.5651e-05
10,3,3,1.56341e-05
10,3,4,1.5742e-05
10,4,0,1.67e-05
10,4,1,1.5976e-05
10,4,2,1.5635e-05
10,4,3,1.5333e-05
10,4,4,1.5236e-05
100,0,0,0.00152907
100,0,1,0.00155182
100,0,2,0.00159973
100,0,3,0.00156204
100,0,4,0.00158091
100,1,0,0.00162993
100,1,1,0.00165672
100,1,2,0.00166243
100,1,3,0.00169608
100,1,4,0.00166526
100,2,0,0.00298402
100,2,1,0.00310425
100,2,2,0.00302938
100,2,3,0.00304769
100,2,4,0.00305734
100,3,0,0.00115049
100,3,1,0.001129
100,3,2,0.00113301
100,3,3,0.00114446
100,3,4,0.00113626
100,4,0,0.000884813
100,4,1,0.000887315
100,4,2,0.000891104
100,4,3,0.000889801
100,4,4,0.000890409
1000,0,0,0.050359
1000,0,1,0.053234
1000,0,2,0.0537413
1000,0,3,0.0595351
1000,0,4,0.0584785
1000,1,0,0.0590239
1000,1,1,0.0611701
1000,1,2,0.0618996
1000,1,3,0.062863
1000,1,4,0.0635858
1000,2,0,0.0481027
1000,2,1,0.0501538
1000,2,2,0.0537372
1000,2,3,0.0562423
1000,2,4,0.05696
1000,3,0,0.0607654
1000,3,1,0.089632
1000,3,2,0.0906586
1000,3,3,0.0921026
1000,3,4,0.0925849
1000,4,0,0.0573286
1000,4,1,0.0592926
1000,4,2,0.0583449
1000,4,3,0.0603018
1000,4,4,0.0593705
10000,0,0,2.58145
10000,0,1,3.10198
10000,0,2,1.89071
10000,0,3,4.17667
10000,0,4,1.90957
10000,1,0,1.67087
10000,1,1,4.10696
10000,1,2,1.7613
10000,1,3,4.14176
10000,1,4,2.1915
10000,2,0,3.05071
10000,2,1,2.58816
10000,2,2,1.78403
10000,2,3,4.1845
10000,2,4,1.92217
10000,3,0,1.73359
10000,3,1,2.40128
10000,3,2,2.50092
10000,3,3,1.86661
10000,3,4,2.04885
10000,4,0,1.66989
10000,4,1,1.78377
10000,4,2,2.32285
10000,4,3,2.33587
10000,4,4,1.88771
100000,0,0,43.3944
100000,0,1,40.1475
100000,0,2,50.6631
100000,0,3,54.0393
100000,0,4,65.4593
100000,1,0,42.8644
100000,1,1,49.7836
100000,1,2,52.2834
100000,1,3,59.427
100000,1,4,66.3953
100000,2,0,42.8942
100000,2,1,47.2797
100000,2,2,48.1067
100000,2,3,61.5787
100000,2,4,55.9563
100000,3,0,41.998
100000,3,1,41.3942
100000,3,2,51.3653
100000,3,3,60.2732
100000,3,4,59.2034
100000,4,0,42.5165
100000,4,1,42.6051
100000,4,2,46.1966
100000,4,3,59.23
100000,4,4,61.3011